Parameter,Parameter Code,Method Code,Recording Mode,Collection Description,Analysis Description,Method Type,Reference Method ID,Equivalent Method,Federal MDL,Min Value,Max Value,Digits,Round Truncate Indicator,Units
"1,1,1,2,2-Pentafluoroethane",43834,171,Intermittent,6L Pressurized Canister,Precon Saturn GC/MS,,,,0.2,-0.2,,2,R,Parts per billion Carbon
"1,1,1,2-Tetrachloroethane",43837,105,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-ECD,,,,0.4,-0.4,,1,R,Parts per billion Carbon
"1,1,1,2-Tetrachloroethane",43837,106,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-ECD,,,,0.4,-0.4,,1,R,Parts per billion Carbon
"1,1,1,2-Tetrachloroethane",43837,110,Intermittent,SS-CANISTER-PRESSURIZED,GAS CHROMATOGRAPH MASS SPECTRO,,,,0.1,,,1,R,Parts per billion Carbon
"1,1,1,2-Tetrachloroethane",43837,116,Intermittent,Mixed Sorbent Cartridge,GC/MS,,,,29.4,-29.4,,1,R,Parts per billion Carbon
"1,1,1,2-Tetrachloroethane",43837,136,Continuous,iNSTRUMENTAL,ENTECH 2000 W/MS/FID,,,,29.4,-29.4,,1,R,Parts per billion Carbon
"1,1,1,2-Tetrachloroethane",43837,176,Intermittent,6L SUBATM SS CANISTER,ENTECH PRECONCENTRATOR GC/MS,,,,0.18,-0.18,,2,R,Parts per billion Carbon
"1,1,1-Trichloro-2,2-bis (p-chlorophenyl) ethane",43162,167,Intermittent,GMW HI VOL 2000H,FINNIGAN MAGNUM GC/MS,,,,3,-3,,1,R,Nanograms/cubic meter (25 C)
"1,1,1-Trichloro-2,2-bis (p-chlorophenyl) ethane",43162,176,Intermittent,6L SUBATM SS CANISTER,ENTECH PRECONCENTRATOR GC/MS,,,,0.01,-0.01,,2,R,Nanograms/cubic meter (25 C)
"1,1,1-Trichloro-2,2-bis (p-chlorophenyl) ethane",43162,178,Intermittent,Hi Vol PUF/XAD,GC-MS,,,,0.5,-0.5,,2,R,Nanograms/cubic meter (25 C)
"1,1,2,2-Tetrachloroethane",43818,51,Intermittent,PERSONAL-PUMPS,TENAX DESORPTION GC/MS,,,,1.3,-1.3,,0,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.004,-0.004,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,103,Intermittent,TENAX/SPHEROCARB-SORBENT-TRAP,HEAT DESORPTION GC-HECD,,,,0.3,-0.3,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,105,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-ECD,,,,0.4,-0.4,,1,R,Parts per billion Carbon
