code,description,unit-code
11101,Suspended particulate (TSP),1
11103,Benzene soluble organics(TSP),1
11104,Total polynuclear hydrocarbons,1
11114,Windblown particulate,54
11121,Crystalline quartz,30
11122,Cristabalite,30
11123,Asbestos > 5um,120
11124,Asbestos > 0.5um,120
11125,Total Non-Asbestos Fibers,120
11201,Soil index (COH),9
11202,Soil index (RUD),10
11203,Light scatter,27
11204,Smoke,1
11205,Soil index (μg/m3),1
11206,Light scatter (μg/m3),1
11207,Light scatter (miles visibility),24
11208,Deciview,123
11301,Alpha radiation (TSP),30
11302,Beta radiation (TSP),30
11343,Antimony - 121 (TSP),1
11344,Arsenic - 75 (TSP),1
11345,Chromium - 50 (TSP),1
11346,Chromium - 52 (TSP),1
11347,Chromium - 53 (TSP),1
11348,Cobalt - 59 (TSP),1
11349,Copper - 63 (TSP),1
11350,Iron - 56 (TSP),1
11351,Lead - 208 (TSP),1
11352,Manganese - 55 (TSP),1
11353,Molybdenum - 98 (TSP),1
11354,Nickel - 60 (TSP),1
11355,Strontium - 88 (TSP),1
11356,Tin - 117 (TSP),1
11357,Zinc - 66 (TSP),1
11358,Iron - 57 (TSP),1
11359,Nickel - 58 (TSP),1
11360,Zinc - 64 (TSP),1
11361,Tin - 120 (TSP),1
11362,Vanadium (TSP),1
12101,Aluminum (TSP),1
12102,Antimony (TSP),1
12103,Arsenic (TSP),1
12105,Beryllium (TSP),3
12106,Bismuth (TSP),1
12107,Barium (TSP),1
12109,Bromine (TSP),1
12110,Cadmium (TSP),1
12111,Calcium (TSP),1
12112,Chromium (TSP),1
12113,Cobalt (TSP),1
12114,Copper (TSP),1
12115,Chromium VI(TSP),1
12117,Cerium (TSP),1
12118,Cesium (TSP),1
12121,Europium (TSP),1
12124,Gallium (TSP),1
12125,Germanium (TSP),1
12126,Iron (TSP),1
12127,Hafnium (TSP),1
12128,Lead (TSP),1
12129,Lead-210 (TSP),1
12131,Indium (TSP),1
12132,Manganese (TSP),1
12133,Iridium (TSP),1
12134,Molybdenum (TSP),1
12136,Nickel (TSP),1
12138,Thorium-230 (TSP),30
12139,Thorium-232 (TSP),30
12140,Magnesium (TSP),1
12142,Mercury (TSP),1
12143,Gold (TSP),1
12146,Lanthanum (TSP),1
12147,Niobium (TSP),1
12150,Platinum (TSP),1
12151,Palladium,1
12152,Phosphorus (TSP),1
12153,Polonium-210 (TSP),30
12154,Selenium (TSP),1
12160,Tin (TSP),1
12161,Titanium (TSP),1
12162,Samarium (TSP),1
12163,Scandium (TSP),1
12164,Vanadium (TSP),1
12165,Silicon (TSP),1
12166,Silver (TSP),1
12167,Zinc (TSP),1
12168,Strontium (TSP),1
12169,Sulfur (TSP),1
12170,Tantalum (TSP),1
12171,Tellurium and compounds as Te (TSP),1
12172,Terbium (TSP),1
12173,Thallium (TSP),1
12176,Rubidium (TSP),1
12178,Tungsten (TSP),1
12179,Uranium (TSP),1
12180,Potassium (TSP),1
12183,Yttrium (TSP),1
12184,Sodium (TSP),1
12185,Zirconium (TSP),1
12187,Radium-226 (TSP),30
12188,Radium-228 (TSP),30
12190,Boron (TSP),1
12191,Chlorine (TSP),1
12201,Bromide(TSP),1
12202,Fluoride(TSP),1
12203,Chloride(TSP),1
12204,Iodide(TSP),1
12208,Fluoride (vegation),7
12209,Fluoride (paper samplers),97
12301,Ammonium (TSP),1
12306,Nitrate (TSP),1
12309,Nitrite (TSP),1
12345,Phosphate (TSP),1
12402,Sulfuric acid (TSP),61
12403,Sulfate (TSP),1
12602,Hydrogen ion conc (TSP),61
12803,Asbestos amphibole (TSP),1
13115,Chlorine(TSP),1
16111,Carbon Black (TSP),1
16115,Paraffins (alkanes),1
16210,n-Hexadecane,1
16212,4-Phenylcyclohexene,1
16320,Cellulose (TSP),1
16521,Methyl isoamyl ketone,78
16722,N-Nitrosodimethylamine,3
16724,"1,2,4,5-Tetrachlorobenzene",3
16725,"1,2,4-Trichlorobenzene",3
16726,"1,2-Dichlorobenzene",3
16727,"1,3-Dichlorobenzene",3
16728,"1,3-Dinitrobenzene",3
16729,"1,4-Dichlorobenzene",3
16730,"1,4-Naphthoquinone",3
16731,1-Naphthylamine,3
16732,"2,3,4,6-Tetrachlorophenol",3
16733,"2,4,5-Trichlorophenol",3
16734,"2,4,6-Trichlorophenol",3
16735,"2,4-Dichlorophenol",3
16736,"2,4-Dimethylphenol",3
16737,"2,4-Dinitrophenol",3
16738,"2,4-Dinitrotoluene",3
16739,"2,6-Dichlorophenol",3
16740,"2,6-Dinitrotoluene",3
16741,2-Acetylaminofluorene,3
16742,2-Chloronaphthalene,3
16743,2-Chlorophenol,3
16744,2-Naphthylamine,3
16745,2-Nitroaniline,3
16746,2-Nitrophenol,3
16747,2-Picoline,3
16748,"3,3'-Dimethoxybenzidine",3
16749,3-Methylcholanthrene,3
16750,3-Nitroaniline,3
16751,"4,6-Dinitro-2-methylphenol",3
16752,4-Aminobiphenyl,3
16753,4-Bromophenyl phenyl ether,3
16754,4-Chloro-3-methylphenol,3
16755,4-Chloroaniline,3
16756,4-Chlorophenyl-phenyl ether,3
16757,4-Dimethylaminoazobenzene,3
16758,4-Nitroaniline,3
16759,4-Nitrophenol,3
16760,5-Nitro-o-toluidine,3
16761,"7,12-Dimethylbenz[a] anthracene",3
16762,Acetophenone,3
16763,Aniline,3
16764,Azobenzene,3
16765,Benzidine,3
16766,Benzyl alcohol,3
16767,bis (2-Chloroethyl)ether,3
16768,bis(2-Chloroethoxy)methane,3
16769,bis(2-Chloroisopropyl)ether,3
16770,bis(2-Ethylhexyl)phthalate,3
16771,Butyl benzyl phthalate,3
16772,Carbazole,3
16773,Chlorobenzilate,3
16774,Diallate,3
16775,Diethyl phthalate,3
16776,Dimethyl phthalate,3
16777,Di-n-butyl phthalate,3
16778,Di-n-octyl phthalate,3
16779,Dinoseb,3
16780,Diphenylamine,3
16781,Ethyl methanesulfonate,3
16782,Hexachlorobutadiene,3
16783,Hexachloropropene,3
16784,Isodrin,3
16785,Isosafrole,3
16786,m and p-Cresol,3
16787,Methyl methanesulfonate,3
16788,Nitrobenzene,3
16789,N-Nitrosodibutylamine,3
16790,N-Nitrosodiethylamine,3
16791,N-Nitrosodipropylamine,3
16792,N-Nitrosomethylethylamine,3
16793,N-Nitrosopiperidine,3
16794,N-Nitrosopyrrolidine,3
16795,Pentachloroethane,3
16796,Phenacetin,3
16797,Phenol,3
16798,Pronamide,3
16799,Pyridine,3
16801,Safrole,3
16807,Hexachloroethane,3
16826,Hexachlorocyclopentadiene,3
16906,"1,4-Dioxin",0
16914,Isophorone,3
16915,2-Methylnaphthalene,3
16917,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",74
16918,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",74
16919,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",74
16920,"1,2,3,7,8-Pentachlorodibenzofuran",74
16921,"2,3,4,7,8-Pentachlorodibenzofuran",74
16922,"1,2,3,4,7,8-Hexachlorodibenzofuran",74
16923,"1,2,3,6,7,8-Hexachlorodibenzofuran",74
16924,"2,3,4,6,7,8-Hexachlorodibenzofuran",74
16925,"1,2,3,7,8,9-Hexachlorodibenzofuran",74
16926,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",74
16927,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",74
16938,1-Methylnapthalene,3
17131,C2 Alkylbenzenes,30
17141,Naphthalene,3
17142,"2,6-dimethylnaphthalene (TSP)",3
17143,"1,7-dimethylnaphthalene (TSP)",3
17144,"1,6-dimethylnaphthalene (TSP)",3
17145,"2,3-dimethylnaphthalene (TSP)",3
17146,"1,2-dimethylnaphthalene (TSP)",3
17147,Acenaphthene,3
17148,Acenaphthylene,3
17149,Fluorene,3
17150,Phenanthrene,3
17151,Anthracene,3
17152,"1,3-dinitropyrene",3
17153,1-nitropyrene,3
17155,3-nitrofluoranthene,3
17156,2-methylphenanthrene (TSP),3
17157,1-methylphenanthrene (TSP),3
17158,Retene,3
17159,9-fluorenone,3
17160,Cyclopenta[cd]pyrene,3
17199,Polycyclic organic matter,1
17201,Fluoranthene,3
17202,Polynuclear aromatic hydrocarbons (TSP),3
17204,Pyrene,3
17208,Chrysene,3
17210,Anthanthrene (TSP),3
17211,Coronene,3
17212,Perylene,3
17215,Benzo[a]anthracene,3
17220,Benzo[b]fluoranthene,3
17223,Benzo[k]fluoranthene,3
17224,Benzo[e]pyrene,3
17225,"Benzo[b,k]fluoranthene (TSP)",3
17231,"Dibenzo[a,h]anthracene",3
17237,"Benzo[g,h,i]perylene",3
17242,Benzo[a]pyrene,3
17243,"Indeno[1,2,3-cd]pyrene",3
17301,o-Cresol,3
17302,m-Cresol,3
17303,p-Cresol,3
17502,Benzanthrone (TSP),3
17710,o-Toluidine,3
17716,"3,3'-Dichlorobenzidene",1
17725,Pentachloronitrobenzene,3
17801,Trichlorobenzene,3
17802,Tetrachlorobenzene,3
17803,Pentachlorobenzene,3
17804,Hexachlorobenzene,3
17805,Dichlorophenol,3
